
minimatch,9.0.5
glob,10.5.0
define-lazy-prop,3.0.0
schema-utils,4.3.3
rimraf,5.0.10
open,10.2.0
ipaddr.js,2.3.0
webpack-cli,5.1.4
resolve,1.22.11
rechoir,0.8.0
interpret,3.1.1
tsconfig-paths-webpack-plugin,4.1.0
supports-color,7.2.0
chalk,4.1.2
ts-loader,9.5.1
supports-color,7.2.0
source-map,0.7.6
chalk,4.1.2
style-loader,4.0.0
spfx-css-modules-typescript-loader,4.0.6
sass-loader,14.2.1
react-refresh-typescript,2.0.9
postcss-loader,8.1.1
argparse,2.0.1
js-yaml,4.1.1
semver,7.7.3
cosmiconfig,9.0.0
kill-port,2.0.1
get-port,5.1.1
fork-ts-checker-webpack-plugin,9.0.2
argparse,2.0.1
universalify,2.0.1
jsonfile,6.2.0
js-yaml,4.1.1
supports-color,7.2.0
tapable,2.3.0
schema-utils,3.3.0
memfs,3.5.3
fs-extra,10.1.0
cosmiconfig,8.3.6
chalk,4.1.2
file-loader,6.2.0
schema-utils,3.3.0
loader-utils,2.0.4
eslint-webpack-plugin,4.2.0
json-schema-traverse,1.0.0
ajv-keywords,5.1.0
ajv-formats,2.1.1
ajv,8.17.1
@sinclair/typebox,0.27.8
@types/yargs,17.0.35
@jest/schemas,29.6.3
ci-info,3.9.0
chalk,4.1.2
supports-color,7.2.0
@jest/types,29.6.3
jest-util,29.7.0
schema-utils,4.3.3
jest-worker,29.7.0
copy-webpack-plugin,12.0.2
json-schema-traverse,1.0.0
ajv-keywords,5.1.0
ajv-formats,2.1.1
ajv,8.17.1
slash,5.1.0
path-type,6.0.0
ignore,7.0.5
merge2,1.4.1
schema-utils,4.3.3
globby,14.1.0
glob-parent,6.0.2
fast-glob,3.3.3
glob-parent,5.1.2
@types/webpack-dev-server,4.7.1
@types/cross-spawn,6.0.6
@types/copy-webpack-plugin,8.0.1
tapable,2.3.0
react-refresh,0.14.2
@pmmmwh/react-refresh-webpack-plugin,0.5.15
json-schema-traverse,1.0.0
ajv-keywords,5.1.0
ajv-formats,2.1.1
ajv,8.17.1
source-map,0.7.6
schema-utils,4.3.3
loader-utils,2.0.4
side-channel-weakmap,1.0.2
side-channel-map,1.0.1
side-channel-list,1.0.0
shebang-regex,3.0.0
batch,0.6.1
randombytes,2.1.0
sver-compat,1.5.0
ajv-keywords,3.5.2
@types/json-schema,7.0.15
xmlchars,2.2.0
immutable,4.3.7
rsvp,4.8.5
exec-sh,0.3.6
capture-exit,2.0.0
@cnakazawa/watch,1.0.4
queue-microtask,1.2.3
protocol-buffers-schema,3.6.0
path-parse,1.0.7
remove-trailing-separator,1.1.0
deep-extend,0.6.0
rc,1.2.8
strip-json-comments,2.0.1
strip-indent,3.0.0
indent-string,4.0.0
string_decoder,1.1.1
safe-buffer,5.1.2
isarray,1.0.0
core-util-is,1.0.3
