"Package","Version","ReleaseDate"
"define-property","2.0.2","2018-01-26T20:24:22.283Z"
"arr-diff","4.0.0","2017-04-14T04:11:29.824Z"
"fragment-cache","0.2.1","2017-03-14T20:36:58.556Z"
"extglob","2.0.4","2018-01-12T22:11:27.449Z"
"is-extendable","0.1.1","2015-07-04T22:50:11.330Z"
"is-descriptor","1.0.3","2023-10-27T01:22:20.533Z"
"extend-shallow","2.0.1","2015-07-16T23:28:36.775Z"
"define-property","1.0.0","2017-04-20T06:19:43.879Z"
"path-dirname","1.0.2","2016-10-18T17:27:03.641Z"
"file-uri-to-path","1.0.0","2017-07-06T21:51:51.414Z"
"nan","2.23.1","2025-11-05T21:19:31.621Z"
"bindings","1.5.0","2019-02-27T22:54:44.325Z"
"repeat-string","1.6.1","2016-10-23T16:54:00.613Z"
"ret","0.1.15","2017-08-10T03:53:52.328Z"
"safe-regex","1.1.0","2015-03-19T00:30:21.780Z"
"regex-not","1.0.2","2018-02-20T02:31:14.441Z"
"extend-shallow","3.0.2","2017-12-20T19:11:38.344Z"
"copy-descriptor","0.1.1","2016-06-09T18:32:05.080Z"
"object-copy","0.1.0","2016-06-09T18:07:50.184Z"
"kind-of","3.2.2","2017-05-16T18:21:41.452Z"
"urix","0.1.0","2014-03-01T21:02:32.481Z"
"source-map-url","0.4.1","2021-02-01T20:14:54.142Z"
"resolve-url","0.2.1","2014-02-25T18:48:50.732Z"
"decode-uri-component","0.2.2","2022-12-01T18:22:59.105Z"
"atob","2.1.2","2018-08-18T10:18:59.696Z"
"snapdragon-util","3.0.1","2017-06-25T09:46:40.807Z"
"kind-of","3.2.2","2017-05-16T18:21:41.452Z"
"is-extendable","1.0.1","2017-09-11T20:38:26.333Z"
"is-plain-object","2.0.4","2017-07-11T22:41:10.371Z"
"is-data-descriptor","1.0.1","2023-10-26T17:37:19.269Z"
"is-accessor-descriptor","1.0.1","2023-10-26T17:38:20.059Z"
"has-values","1.0.0","2017-05-19T18:43:39.654Z"
"kind-of","4.0.0","2017-05-19T18:23:12.030Z"
"is-number","3.0.0","2016-09-11T00:51:30.912Z"
"kind-of","3.2.2","2017-05-16T18:21:41.452Z"
"is-descriptor","0.1.7","2023-10-27T04:49:06.311Z"
"object-visit","1.0.1","2017-05-30T04:25:21.809Z"
"map-visit","1.0.0","2017-04-09T21:43:35.689Z"
"static-extend","0.1.2","2016-06-09T18:45:37.095Z"
"unset-value","1.0.0","2017-02-25T22:27:15.940Z"
"has-values","0.1.4","2016-03-27T12:11:52.568Z"
"has-value","0.3.1","2016-03-27T15:18:56.829Z"
"isobject","2.1.0","2016-04-25T21:07:07.504Z"
"union-value","1.0.1","2019-06-24T21:09:47.794Z"
"is-extendable","0.1.1","2015-07-04T22:50:11.330Z"
"arr-union","3.1.0","2016-02-23T12:54:40.819Z"
"to-object-path","0.3.0","2016-01-31T16:59:38.115Z"
"kind-of","3.2.2","2017-05-16T18:21:41.452Z"
"set-value","2.0.1","2019-06-24T21:06:17.841Z"
"is-plain-object","2.0.4","2017-07-11T22:41:10.371Z"
"is-extendable","0.1.1","2015-07-04T22:50:11.330Z"
"extend-shallow","2.0.1","2015-07-16T23:28:36.775Z"
"has-value","1.0.0","2017-05-19T19:11:24.026Z"
"collection-visit","1.0.0","2017-04-09T22:00:31.200Z"
"pascalcase","0.1.1","2015-12-04T22:12:32.187Z"
"mixin-deep","1.3.2","2019-06-24T20:33:47.877Z"
"component-emitter","1.3.1","2023-11-16T20:57:12.372Z"
"class-utils","0.3.6","2018-01-11T14:49:23.288Z"
"arr-union","3.1.0","2016-02-23T12:54:40.819Z"
"cache-base","1.0.1","2017-07-22T17:26:08.779Z"
"use","3.1.1","2018-07-12T17:13:41.903Z"
"source-map-resolve","0.5.3","2019-12-28T19:36:35.020Z"
"define-property","0.2.5","2015-08-31T06:31:10.166Z"
"base","0.11.2","2017-09-08T01:35:52.849Z"
"is-descriptor","1.0.3","2023-10-27T01:22:20.533Z"
"define-property","1.0.0","2017-04-20T06:19:43.879Z"
"to-regex","3.0.2","2018-02-24T08:29:32.189Z"
"is-descriptor","1.0.3","2023-10-27T01:22:20.533Z"
"extend-shallow","3.0.2","2017-12-20T19:11:38.344Z"
"define-property","2.0.2","2018-01-26T20:24:22.283Z"
"split-string","3.1.0","2017-11-19T15:54:55.354Z"
"extend-shallow","3.0.2","2017-12-20T19:11:38.344Z"
"snapdragon-node","2.1.1","2017-06-25T12:04:17.139Z"
"is-descriptor","1.0.3","2023-10-27T01:22:20.533Z"
"define-property","1.0.0","2017-04-20T06:19:43.879Z"
"snapdragon","0.8.2","2018-03-11T13:56:38.513Z"
"is-extendable","0.1.1","2015-07-04T22:50:11.330Z"
"ms","2.0.0","2017-05-16T12:26:06.610Z"
"source-map","0.5.7","2017-08-21T16:30:15.907Z"
"extend-shallow","2.0.1","2015-07-16T23:28:36.775Z"
"debug","2.6.9","2017-09-22T13:32:35.541Z"
"repeat-element","1.1.4","2021-04-07T23:13:01.181Z"
"array-unique","0.3.2","2016-08-01T00:54:49.804Z"
"upath","1.2.0","2019-09-02T20:42:24.075Z"
"async-each","1.0.6","2023-02-04T06:18:20.876Z"
"es-get-iterator","1.1.3","2023-01-13T07:49:42.931Z"
"isarray","2.0.5","2019-07-08T13:21:22.377Z"
"chartjs-color-string","0.6.0","2019-03-07T10:05:16.208Z"
"moment","2.30.1","2023-12-27T10:38:43.272Z"
"chartjs-color","2.4.1","2019-10-25T20:51:22.080Z"
"color-name","1.1.3","2017-07-15T22:17:08.140Z"
"color-convert","1.9.3","2018-08-28T05:32:39.014Z"
"fast-uri","3.1.0","2025-08-25T13:16:04.404Z"
"emojis-list","3.0.0","2019-05-12T10:53:05.120Z"
"big.js","5.2.2","2018-10-18T10:52:46.395Z"
"dom-serializer","1.4.1","2022-04-09T17:19:31.927Z"
"entities","2.2.0","2021-01-25T00:41:37.316Z"
"domelementtype","2.3.0","2022-04-07T11:41:20.402Z"
"nth-check","2.1.1","2022-05-23T10:05:21.450Z"
"domutils","2.8.0","2021-08-27T23:21:51.150Z"
"domhandler","4.3.1","2022-03-19T12:22:32.959Z"
"css-what","6.2.2","2025-06-28T15:45:55.599Z"
"boolbase","1.0.0","2014-02-15T14:44:50.620Z"
"stable","0.1.8","2018-04-25T14:41:39.506Z"
"csso","4.2.0","2020-11-26T17:10:12.813Z"
"css-select","4.3.0","2022-03-28T13:57:10.490Z"
"@trysound/sax","0.2.0","2021-08-30T22:50:39.924Z"
"svgo","2.8.0","2021-11-02T07:55:18.200Z"
"commander","7.2.0","2021-03-21T21:56:16.053Z"
"lodash.uniq","4.5.0","2016-08-13T17:46:41.962Z"
"colord","2.9.3","2022-08-10T13:52:12.556Z"
"caniuse-api","3.0.0","2018-07-10T15:24:13.492Z"
"nanoid","3.3.11","2025-03-18T23:06:32.923Z"
"lilconfig","2.1.0","2023-03-02T19:39:03.608Z"
"dir-glob","3.0.1","2019-06-29T16:22:06.207Z"
"eslint-utils","3.0.0","2021-05-14T06:56:40.014Z"
"eslint-visitor-keys","2.1.0","2021-05-04T00:36:16.797Z"
"regexpp","3.2.0","2021-06-14T11:06:58.407Z"
"functional-red-black-tree","1.0.1","2014-09-29T16:05:12.335Z"
"@typescript-eslint/experimental-utils","5.20.0","2022-04-18T17:02:11.946Z"
"merge2","1.4.1","2020-06-03T07:39:10.563Z"
"ignore","5.3.2","2024-08-12T08:51:00.065Z"
"array-union","2.1.0","2019-04-22T07:56:25.195Z"
"estraverse","4.3.0","2019-08-13T22:08:56.155Z"
"globby","11.1.0","2022-01-08T02:46:38.602Z"
"@typescript-eslint/visitor-keys","5.20.0","2022-04-18T17:01:50.822Z"
"eslint-scope","5.1.1","2020-09-12T18:29:01.228Z"
"@typescript-eslint/typescript-estree","5.20.0","2022-04-18T17:01:54.487Z"
"@typescript-eslint/types","5.20.0","2022-04-18T17:01:47.674Z"
"@typescript-eslint/scope-manager","5.20.0","2022-04-18T17:01:54.106Z"
"@typescript-eslint/utils","5.20.0","2022-04-18T17:02:04.074Z"
"ajv-formats","3.0.1","2024-03-30T11:30:26.728Z"
"json-schema-traverse","1.0.0","2020-12-13T10:56:54.719Z"
"ajv","8.17.1","2024-07-12T20:42:13.485Z"
"lodash.sortby","4.7.0","2016-08-13T17:44:38.694Z"
"psl","1.15.0","2024-12-02T10:16:04.251Z"
"ip-regex","2.1.0","2017-03-11T09:56:09.108Z"
"browser-process-hrtime","1.0.0","2018-09-23T07:19:44.502Z"
"tweetnacl","0.14.5","2016-12-13T11:11:56.945Z"
"jsbn","0.1.1","2017-02-12T08:03:16.073Z"
"getpass","0.1.7","2017-04-25T23:40:58.770Z"
"ecc-jsbn","0.1.2","2018-07-29T15:54:20.855Z"
"dashdash","1.14.1","2016-11-22T22:33:40.575Z"
"bcrypt-pbkdf","1.0.2","2018-06-29T00:33:59.042Z"
"asn1","0.2.6","2021-11-04T00:46:28.017Z"
"stealthy-require","1.1.1","2017-05-09T03:51:53.868Z"
"request-promise-core","1.1.4","2020-07-22T01:12:57.879Z"
"verror","1.10.0","2017-05-02T16:40:47.677Z"
"core-util-is","1.0.2","2015-11-20T00:37:33.081Z"
"json-schema","0.4.0","2021-11-09T02:04:08.632Z"
"extsprintf","1.3.0","2015-03-07T00:13:00.888Z"
"sshpk","1.18.0","2023-10-19T17:23:11.379Z"
"jsprim","1.4.2","2021-11-29T15:24:25.448Z"
"assert-plus","1.0.0","2016-01-27T19:03:38.091Z"
"har-schema","2.0.0","2017-04-18T19:44:14.320Z"
"asynckit","0.4.0","2016-06-14T18:29:05.418Z"
"delayed-stream","1.0.0","2015-04-30T22:10:29.726Z"
"tunnel-agent","0.6.0","2017-03-05T00:30:01.500Z"
"performance-now","2.1.0","2017-02-19T14:28:49.939Z"
"oauth-sign","0.9.0","2018-08-02T18:03:51.602Z"
"json-stringify-safe","5.0.1","2015-05-19T01:42:09.719Z"
"isstream","0.1.2","2015-03-07T00:15:15.512Z"
"http-signature","1.2.0","2017-08-25T19:32:03.167Z"
"har-validator","5.1.5","2020-07-30T04:42:33.615Z"
"form-data","2.3.3","2018-10-17T07:26:22.767Z"
"forever-agent","0.6.1","2015-04-07T17:03:49.221Z"
"combined-stream","1.0.8","2019-05-12T17:49:45.337Z"
"caseless","0.12.0","2017-01-26T21:37:30.100Z"
"aws4","1.13.2","2024-08-28T07:43:50.865Z"
"aws-sign2","0.7.0","2017-04-12T19:08:50.725Z"
"acorn-walk","6.2.0","2019-07-04T06:34:56.385Z"
"w3c-hr-time","1.0.2","2020-03-06T00:45:09.083Z"
"request-promise-native","1.0.9","2020-07-22T01:28:05.415Z"
"tough-cookie","2.5.0","2018-11-26T22:58:46.850Z"
"request","2.88.2","2020-02-11T16:35:36.122Z"
"uuid","3.4.0","2020-01-16T21:05:38.628Z"
"tough-cookie","2.5.0","2018-11-26T22:58:46.850Z"
"qs","6.5.3","2022-01-11T05:59:27.508Z"
"pn","1.1.0","2018-01-03T20:35:42.376Z"
"escodegen","1.14.3","2020-06-22T23:16:32.203Z"
"type-check","0.3.2","2015-12-29T05:46:21.672Z"
"prelude-ls","1.1.2","2015-05-15T02:42:34.500Z"
"levn","0.3.0","2015-12-29T05:57:03.996Z"
"optionator","0.8.3","2019-11-06T21:55:39.994Z"
"estraverse","4.3.0","2019-08-13T22:08:56.155Z"
"domexception","1.0.1","2018-01-22T00:32:26.351Z"
"webidl-conversions","4.0.2","2017-08-14T03:31:26.237Z"
"cssom","0.4.4","2019-11-14T00:40:05.800Z"
"array-equal","1.0.2","2023-11-16T17:08:39.617Z"
"acorn-globals","4.3.4","2019-09-10T15:46:53.270Z"
"acorn","6.4.2","2020-10-05T08:15:41.072Z"
"abab","2.0.6","2022-04-17T03:36:42.573Z"
